FIPS,City
EN07,Laanemaa
EN08,Laane-Virumaa
EN09,Narva
EN10,Parnu
EN11,Parnumaa
EN12,Polvamaa
EN13,Raplamaa
EN14,Saaremaa
EN15,Sillamae
EN16,Tallinn
EN17,Tartu
EN18,Tartumaa
EN19,Valgamaa
EN20,Viljandimaa
EN21,Vorumaa
ER00,Eritrea
ER01,Ānseba
ER02,Debub
ER03,Debubawī K’Eyih Bahrī
ER04,Gash Barka
ER05,Ma'Ākel
ER06,Semēnawī K’Eyih Bahrī
ES00,El Salvador
ES01,Ahuachapan
ES02,Cabanas
ES03,Chalatenango
ES04,Cuscatlan
ES05,La Libertad
ES06,La Paz
ES07,La Union
ES08,Morazan
ES09,San Miguel
ES10,San Salvador
ES11,Santa Ana
ES12,San Vicente
ES13,Sonsonate
ES14,Usulutan
ET00,Ethiopia
ET01,Arsi
ET02,Gonder
ET03,Bale
ET04,Eritrea
